Year,NBP_obs
1982,2.3092927399999987
1983,0.5582403699999994
1984,2.4549552359999995
1985,1.7234409069999996
1986,3.1259199649999996
1987,-0.3673180369999989
1988,1.0178333340000003
1989,2.533910965
1990,2.9638155630000007
1991,3.897626061
1992,3.6933889049999995
1993,2.699361942000001
1994,2.2353706189999993
1995,1.6068850909999999
1996,3.922374056
1997,2.2382770219999992
1998,-0.027142096999999407
1999,3.514275842999999
2000,3.751858617000001
2001,2.550495864
2002,1.2713756960000004
2003,1.8338271490000009
2004,3.5623578810000005
2005,1.717233514000002
2006,3.4553184760000017
2007,2.829593703000001
2008,3.743432951000001
2009,3.9679056019999988
2010,2.694589717000001
2011,4.534840915999999
