"","year","ACCESS-ESM1-5","CanESM5","CanESM5-1","CESM2","CESM2-WACCM","CMCC-CM2-SR5","CMCC-ESM2","EC-Earth3-CC","EC-Earth3-Veg","EC-Earth3-Veg-LR","GFDL-ESM4","GISS-E2-2-H","INM-CM4-8","INM-CM5-0","IPSL-CM6A-LR","IPSL-CM6A-LR-INCA","MPI-ESM-1-2-HAM","MPI-ESM1-2-LR","NorESM2-LM","NorESM2-MM","SAM0-UNICON","TaiESM1"
"1",1982,121.4784,199.1778,196.734,123.3829,124.0496,126.2046,123.1901,131.2575,132.0249,130.3651,142.5009,109.3163,142.2879,154.5374,138.3536,135.2047,137.554,137.8253,147.8715,127.2253,149.3725,146.9776
"2",1983,120.0225,201.4756,197.3973,122.038,128.5502,122.9839,119.3505,133.6739,131.3655,131.1175,147.6763,109.1902,142.9242,157.8132,138.151,141.054,138.439,137.5214,148.0971,126.672,152.007,142.2577
"3",1984,119.1043,206.7145,198.3409,126.8609,126.577,122.3177,123.4312,138.7106,131.2596,130.2625,147.5447,108.3723,144.353,151.9995,136.9456,138.7128,137.609,136.6082,150.6741,129.01,153.1613,144.8459
"4",1985,122.8712,208.0571,201.7871,128.4404,125.2721,126.3382,127.226,131.4824,133.1639,130.0072,148.5461,109.2197,143.8269,153.51,138.8849,135.8006,142.8906,133.7033,152.5003,128.8499,153.6573,146.8988
"5",1986,124.3115,206.4865,202.8877,125.5685,129.5003,127.6176,126.3187,136.2863,134.4489,134.7287,147.0857,110.7223,144.4074,151.6003,139.1677,136.5984,142.0082,138.0725,150.2906,129.349,149.3615,147.149
"6",1987,124.2222,205.4133,203.2899,126.4915,132.0874,123.526,124.9159,135.418,133.8721,130.95,146.1039,110.5583,144.4861,153.8963,136.6341,140.2333,145.1533,136.6805,152.1056,129.5397,150.5469,146.4265
"7",1988,122.7517,205.8539,201.7589,129.3378,129.3055,125.0672,126.9562,135.2045,135.1922,129.2288,148.8056,110.2735,145.3367,156.196,136.3094,139.8418,144.8372,137.3048,153.4805,130.766,154.041,146.1854
"8",1989,120.0545,206.9169,201.7443,131.3502,129.5193,128.9675,123.4131,140.1597,132.6657,131.371,147.6741,110.8849,144.8801,153.5213,137.6979,143.3508,145.4034,141.5922,154.3333,130.547,154.1186,149.0182
"9",1990,121.3555,209.6742,202.9433,128.3636,129.1525,124.6059,125.0314,141.4421,137.4814,132.5553,144.3573,112.4883,150.2948,156.4472,142.275,141.3805,145.1842,139.1016,151.7934,128.7091,152.0777,148.2144
"10",1991,123.663,205.0995,201.6344,129.2256,130.3125,121.7203,125.9651,135.0142,135.9106,136.1296,146.6573,111.4514,153.6829,159.4262,142.5085,141.1132,143.2663,137.7843,149.801,130.0936,154.2219,148.059
