Model,Value
ACCESS-ESM1-5_gpp_var_coef.txt,0.0290205
CanESM5_gpp_var_coef.txt,0.0179227
CanESM5-1_gpp_var_coef.txt,0.0106582
CESM2_gpp_var_coef.txt,0.0190662
CESM2-WACCM_gpp_var_coef.txt,0.012345
CMCC-CM2-SR5_gpp_var_coef.txt,0.0380088
CMCC-ESM2_gpp_var_coef.txt,0.0270045
EC-Earth3-CC_gpp_var_coef.txt,0.0360928
EC-Earth3-Veg_gpp_var_coef.txt,0.0192888
EC-Earth3-Veg-LR_gpp_var_coef.txt,0.023644
GFDL-ESM4_gpp_var_coef.txt,0.0368556
INM-CM4-8_gpp_var_coef.txt,0.0302801
INM-CM5-0_gpp_var_coef.txt,0.024835
IPSL-CM6A-LR_gpp_var_coef.txt,0.0189818
IPSL-CM6A-LR-INCA_gpp_var_coef.txt,0.022412
MPI-ESM-1-2-HAM_gpp_var_coef.txt,0.0878029
MPI-ESM1-2-LR_gpp_var_coef.txt,0.0418245
NorESM2-LM_gpp_var_coef.txt,0.019171
NorESM2-MM_gpp_var_coef.txt,0.0299046
SAM0-UNICON_gpp_var_coef.txt,0.0223201
TaiESM1_gpp_var_coef.txt,0.01692
