"","year","CLASS-CTEM-N_SG3","CLM4_SG3","CLM4VIC_SG3","DLEM_SG3","GTEC_SG3","LPJ-wsl_SG3","ORCHIDEE-LSCE_SG3","SiB3_SG3","SiBCASA_SG3","TEM6_SG3","VEGAS2.1_SG3","VISIT_SG3"
"1",1982,96.81804,132.8942,104.2127,97.86929,182.2033,133.6789,113.2878,161.0456,160.379,87.07865,115.0212,117.7405
"2",1983,99.53387,131.8452,102.6914,97.18429,180.8231,131.0534,112.3105,160.7959,158.2742,88.88363,113.1381,115.2767
"3",1984,97.86823,134.6723,106.161,99.67313,183.2781,135.9198,115.7811,161.3201,161.3894,87.92511,115.6936,120.1331
"4",1985,98.00211,134.2761,105.3023,99.02154,183.4189,136.1018,114.3324,161.8878,162.0988,88.29607,115.6638,118.8011
"5",1986,99.21072,133.8206,104.662,99.2339,183.3928,134.3258,114.8379,161.9712,162.1767,88.66077,115.0451,118.7739
"6",1987,101.2441,132.7971,103.6076,97.29276,182.1717,132.2586,112.8494,162.1267,160.5344,88.61427,113.3782,116.325
"7",1988,102.1385,134.2082,105.0216,101.2348,185.8362,135.9677,114.801,163.5746,163.691,89.91594,116.5828,119.2924
"8",1989,102.8545,134.9246,105.8703,101.908,186.9769,138.3237,117.4433,163.5353,165.3057,88.58788,118.2286,121.3296
"9",1990,105.2375,135.9362,107.07,101.6834,187.0848,138.0085,117.7972,164.0165,165.324,91.30666,116.8291,119.4873
"10",1991,105.6949,134.6626,105.219,101.5498,185.5651,136.4242,116.9241,164.3687,166.3393,91.06126,116.9094,118.9334
"11",1992,104.4974,132.3162,103.1961,99.4496,184.674,133.845,116.51,162.4614,164.0397,88.16048,114.2928,116.1228
"12",1993,104.4899,134.0989,105.3917,99.79028,184.8739,136.9717,119.1987,163.1301,165.5581,90.57845,115.2078,119.5835
"13",1994,107.1462,134.7418,106.0879,99.39494,187.6494,137.8027,116.81,164.0633,166.0983,89.60873,116.6349,120.8192
"14",1995,108.1104,135.1813,105.5755,100.2148,187.725,137.5011,117.4052,164.7072,166.0018,89.77334,116.5693,119.493
"15",1996,105.941,136.0647,106.924,101.123,188.1122,138.3281,117.6994,165.3335,167.4906,89.18881,117.1091,122.319
"16",1997,108.6114,136.9492,107.0482,102.0716,188.4948,139.3105,119.1569,166.8485,169.1163,91.51743,117.834,121.3115
"17",1998,112.4516,138.3367,108.2812,102.8186,189.1684,140.2616,118.7092,168.5885,169.3916,92.33669,117.9629,123.0449
"18",1999,110.77,138.7975,109.8923,105.4342,189.39,143.2671,120.7766,168.7038,172.4343,90.28642,119.6425,126.5883
"19",2000,111.5219,140.0611,110.2443,104.1844,191.0975,143.0711,123.6479,169.8639,173.4792,93.17002,120.2607,127.2205
"20",2001,114.1002,140.1818,109.9932,103.5036,192.3524,142.284,120.9264,169.3429,172.6094,92.711,120.0248,125.8757
"21",2002,114.9363,139.6349,109.5398,102.349,189.9955,139.62,118.2332,169.0782,171.1732,91.70229,117.446,125.5083
"22",2003,115.8758,139.7045,109.8151,102.7318,192.1605,141.026,119.5235,169.6096,171.7575,93.51473,118.4937,125.3271
"23",2004,116.9569,140.857,110.5428,104.4317,193.0235,144.0698,121.5244,170.5693,174.3523,93.61167,120.0084,126.9426
"24",2005,119.1135,140.4,110.5201,103.0658,192.9759,143.7352,121.5292,171.1595,174.0775,94.48989,117.9768,125.6291
"25",2006,119.5178,140.7845,111.1802,105.2785,194.4055,143.3368,121.4712,170.2202,174.1673,93.92764,121.4546,127.4842
"26",2007,120.1759,141.4427,111.0168,106.9231,195.6412,143.653,121.4666,171.9577,176.5542,94.58761,120.6514,127.1882
"27",2008,118.8058,142.8565,112.9218,106.6033,196.9231,145.8428,123.247,172.4501,177.9832,93.20065,120.8525,130.2719
"28",2009,119.6569,142.9982,112.2907,105.5924,194.5943,144.3882,121.3343,172.2668,176.048,93.68431,119.8588,128.0719
"29",2010,122.5729,146.1301,115.4864,107.6926,197.1089,150.4561,124.167,173.9677,175.7977,92.1423,124.5133,131.3369
