"","year","CLASS-CTEM-N_SG3","CLM4_SG3","CLM4VIC_SG3","DLEM_SG3","GTEC_SG3","LPJ-wsl_SG3","ORCHIDEE-LSCE_SG3","SiB3_SG3","SiBCASA_SG3","TEM6_SG3","VEGAS2.1_SG3","VISIT_SG3"
"1",1982,-4.996767,1.980228,1.277496,0.1748706,-2.274076,0.5512889,-1.064594,0.31994,-4.31896,-1.642537,-0.5964937,-2.926178
"2",1983,-5.721589,2.425824,2.100573,1.034435,1.036869,2.690511,-0.1360623,0.879822,-2.708906,-1.843892,0.7290293,-0.7682239
"3",1984,-5.639021,0.3101611,-0.3998636,-1.766331,-2.77161,-0.5643842,-2.245722,-0.3734177,-3.875309,-1.89883,-0.9525137,-3.676375
"4",1985,-5.716034,0.9699948,0.6101348,-1.388145,-3.258751,-0.9561879,-1.704022,-0.2624038,-4.894542,-2.891053,-1.0245,-3.335197
"5",1986,-5.561465,1.297716,1.174795,-0.8462209,-2.671078,0.1616677,-1.541012,0.2471548,-4.892384,-2.371334,-0.6604161,-3.325898
"6",1987,-5.104505,2.168293,1.874605,1.367162,0.1367207,1.805639,-0.1672974,1.117584,-3.449792,-1.779903,0.6704109,-0.8091422
"7",1988,-6.453125,1.532871,0.9411909,-1.46874,-2.344679,1.112484,-1.162052,-0.906698,-4.743658,-1.778484,-1.094538,-2.335264
"8",1989,-6.978869,0.4510743,0.009919767,-2.3325,-5.043588,-1.246229,-2.707195,-0.3217883,-5.524209,-1.512758,-2.862585,-4.508576
"9",1990,-7.499129,1.274652,0.5149074,-0.4722297,-2.963808,0.06481855,-1.417315,1.003557,-4.30536,-2.408782,-0.7209887,-2.558112
"10",1991,-7.197529,1.55953,1.492125,-1.124442,-2.125072,0.1417903,-1.940881,-0.5592102,-6.109833,-2.003145,-1.379522,-2.35472
"11",1992,-8.041139,1.295558,1.06617,-1.05589,-3.755131,-0.7125462,-2.734694,0.261885,-5.208567,-1.935153,-0.7731048,-1.962299
"12",1993,-6.968982,0.5309484,0.01296988,-0.9562195,-2.868747,-0.9968236,-2.908043,0.3103848,-4.974113,-3.541008,-0.5910506,-3.221062
"13",1994,-6.83092,1.597008,0.8835451,0.3713214,-3.179694,0.08660241,-0.9865798,-0.1443183,-4.797034,-1.099815,-1.335951,-3.075095
"14",1995,-6.61451,1.719682,1.299461,-0.002002394,-1.593812,0.3480474,-1.405923,0.6604514,-4.196209,-0.3979483,-0.7313339,-2.132347
"15",1996,-6.076135,0.263307,-0.2023491,-1.692455,-3.680262,-1.450913,-1.880259,-0.7858204,-5.156144,-1.81355,-1.186764,-4.234632
"16",1997,-6.30355,0.930154,0.8556193,-0.5413223,-2.600231,-0.411557,-1.944136,0.2416106,-5.667276,-2.275754,-1.202503,-2.911221
"17",1998,-7.423909,1.227484,0.7391474,-0.105951,0.0120083,1.5926,-0.8875406,0.7423106,-4.407356,-0.7505655,-0.09585175,-2.276394
"18",1999,-8.329635,-0.0881312,-0.8628651,-3.430851,-3.910879,-1.925067,-3.024115,-1.679038,-6.33572,-0.8524215,-2.461181,-6.159245
"19",2000,-8.133922,-0.04310981,-0.1934398,-1.631246,-4.88267,-1.949621,-3.316726,0.3418668,-6.163373,-3.140529,-2.355778,-6.290564
"20",2001,-7.836423,0.2227236,0.04418444,-0.6580299,-4.239144,-1.578794,-1.859927,0.8014512,-5.75109,-1.824466,-2.078577,-4.911905
"21",2002,-8.472528,0.2174924,0.09541162,-0.01643384,-2.102645,-0.6626292,-1.019895,0.136799,-5.265285,-1.212663,-0.2052358,-4.403102
"22",2003,-8.838848,-0.1574859,-0.3835095,-0.6679543,-3.104623,-1.120028,-1.896479,-0.06531408,-5.706461,-2.567533,-1.156018,-4.347398
"23",2004,-9.360041,-0.6287314,-0.3947735,-1.75194,-4.038267,-2.765197,-2.571978,-0.45152,-6.496731,-3.193282,-1.605093,-5.258227
"24",2005,-8.805457,0.08522163,-0.2826964,0.03297886,-2.373475,-1.333151,-2.170314,0.3088231,-6.239846,-2.69276,-0.5069454,-3.767258
"25",2006,-8.748463,-0.7220625,-1.11663,-2.075465,-4.188887,-1.998507,-2.418722,0.4318589,-5.313125,-2.815061,-3.091343,-5.013799
"26",2007,-9.596693,-0.9214429,-0.5378016,-2.652985,-4.31759,-1.976512,-2.258754,-0.6326755,-6.599476,-2.722238,-2.083721,-5.110056
"27",2008,-9.290949,-1.476905,-1.828607,-2.459642,-5.978973,-3.520488,-3.266083,-0.3932301,-6.061025,-2.320755,-2.156686,-6.991899
"28",2009,-8.289326,-1.169441,-0.7847351,-1.21339,-3.852535,-3.064972,-2.129428,0.9663961,-5.255306,-2.557361,-1.348024,-4.933837
"29",2010,-8.519219,-2.136351,-2.201759,-1.776704,-2.15217,-3.469976,-2.739253,0.6260476,-5.096323,0.3951427,-3.048574,-4.926106
