"","year","CABLE-POP","CLASSIC","CLM5.0","E3SM","EDv3","IBIS","ISAM","JSBACH","JULES","LPJ-GUESS","LPJmL","LPJwsl","LPX-Bern","OCN","ORCHIDEE","VISIT"
"1",1982,1.048133,0.995489509708271,-0.0587011,0.05270693,0.7123544,-0.5246643,0.3443471,-0.6819136,1.707083,-0.002688108,-0.06412469,-0.764226,-0.09139733,0.2581948,0.9562693,-0.1677632
"2",1983,0.09307518,-2.18759001632852,-1.790389,-3.278093,-0.6090405,-1.583465,-0.8219512,-0.2745227,-1.716815,-0.1085384,-0.1773109,-3.11491,-2.355275,-0.1200832,0.3480526,-2.130994
"3",1984,1.655048,3.68363926326791,0.5718762,1.990555,0.5205181,0.9477401,0.3771575,0.8726462,0.484322,0.1198674,0.1482947,-0.454514,0.7645029,1.126778,2.337935,1.097485
"4",1985,2.423642,2.09185604346436,-0.6413074,1.88204,0.7822304,0.03352348,0.235769,2.11596,0.4489686,0.05169139,0.09229562,-0.3580579,0.0196492,1.081055,1.364643,0.4497118
"5",1986,1.131343,1.52786157953995,0.8228528,0.5375623,0.6017451,-0.4133582,0.7556219,1.046194,1.673693,0.05955927,0.06763096,-0.1731886,-0.8432947,1.304847,0.8420392,0.4384853
"6",1987,-0.07610659,-2.14137514859523,-1.892257,-2.955536,-0.3182184,-1.195292,-0.9399614,-0.749191,-1.856903,-0.1248495,-0.1405148,-1.492034,-1.475097,-0.3737488,0.266075,-0.8785638
"7",1988,1.378137,1.19028805433378,-0.5115908,0.6026873,-0.0189498,0.006388541,0.4273578,1.902423,-0.1857651,-0.003315944,0.06331228,-1.761654,-0.2151194,1.194923,1.476721,-0.6497182
"8",1989,1.810519,4.48422545600968,1.030314,4.689718,1.016574,2.168048,1.225052,0.7824575,1.452348,0.1331593,0.1622193,1.446534,2.03326,2.058303,2.034472,1.931517
"9",1990,0.4045527,2.54687701548434,0.9327829,0.3887478,1.154343,0.7217768,0.1992929,0.6065788,-0.7445869,0.07708459,0.04830785,0.7253925,1.553511,1.175369,1.066879,0.5429598
"10",1991,1.610858,1.16509446616507,0.6471832,0.1516425,0.9930785,-0.5819073,0.7386416,1.650036,1.581567,-0.05030352,0.002702662,-0.2806552,-0.262482,1.353362,1.460038,0.3655021
"11",1992,2.136644,0.828345559398311,0.2893647,-0.3754997,0.9816598,0.5253093,0.7441046,0.3448458,2.145113,0.08395224,0.05927065,1.267579,-0.7689607,1.077919,1.039805,-0.681958
"12",1993,2.183364,2.0597951420613,0.7706644,2.410661,0.9634469,1.367346,0.4400605,1.099958,0.7262121,0.1235394,0.1378309,1.677921,0.5271849,2.192698,1.698473,0.6552478
"13",1994,0.9546753,-0.236906231718764,-0.4613735,-2.130883,0.6297286,0.04510482,0.7645077,0.1532795,-0.4478599,-0.1233931,-0.06449912,-1.243112,-0.4685615,0.4512963,0.6847258,-0.002113782
